,crop,year,number_of_important_countries_blew_-5%,number_of_important_countries_blew_-10%,number_of_important_countries_bottom_quartile,yldAnomSmooth5
0,wheat,1963,3,1,3,0
1,wheat,1964,3,2,3,0
2,wheat,1965,1,1,1,0
3,wheat,1966,2,1,2,0
4,wheat,1967,3,1,3,0
5,wheat,1968,1,1,1,0
6,wheat,1969,2,1,2,0
7,wheat,1970,1,1,2,0
8,wheat,1971,0,0,1,0
9,wheat,1972,0,0,0,0
10,wheat,1973,1,0,1,0
11,wheat,1974,3,3,3,0
12,wheat,1975,2,1,2,0
13,wheat,1976,1,1,1,0
14,wheat,1977,1,1,2,0
15,wheat,1978,0,0,0,0
16,wheat,1979,1,1,1,0
17,wheat,1980,3,0,3,0
18,wheat,1981,2,0,2,0
19,wheat,1982,0,0,0,0
20,wheat,1983,1,0,1,0
21,wheat,1984,2,2,2,0
22,wheat,1985,1,0,1,0
23,wheat,1986,2,0,2,0
24,wheat,1987,1,0,2,0
25,wheat,1988,2,1,5,0
26,wheat,1989,1,0,1,0
27,wheat,1990,0,0,1,0
28,wheat,1991,2,1,3,0
29,wheat,1992,0,0,0,0
30,wheat,1993,0,0,0,0
31,wheat,1994,1,1,2,0
32,wheat,1995,1,0,3,0
33,wheat,1996,1,0,1,0
34,wheat,1997,2,0,2,0
35,wheat,1998,1,0,3,0
36,wheat,1999,0,0,0,0
37,wheat,2000,1,1,1,0
38,wheat,2001,1,1,2,0
39,wheat,2002,2,2,3,0
40,wheat,2003,2,2,4,0
41,wheat,2004,0,0,0,0
42,wheat,2005,0,0,0,0
43,wheat,2006,1,0,2,0
44,wheat,2007,2,1,3,0
45,wheat,2008,0,0,0,0
46,wheat,2009,0,0,0,0
47,wheat,2010,1,1,2,0
48,wheat,2011,1,0,2,0
49,wheat,2012,2,1,2,0
50,wheat,2013,0,0,0,0
51,wheat,2014,1,0,1,0
52,wheat,2015,3,2,3,0
53,wheat,2016,1,1,1,0
54,wheat,2017,0,0,1,0
55,wheat,2018,0,0,1,0
